Vowel,F1,F2
i,302.3,2390.78
i,356.01,2627.04
i,373.11,3049.41
i,367.8,2747.92
i,355.3,2195.3
i,436.29,2927.06
u,328.52,1138.56
u,391.11,1308.08
u,369.28,2888.93
u,369.32,1256.84
u,409.31,1322.94
u,384.92,1306.61
c,790.62,1093.18
c,903.32,1163.11
c,970.95,1789.49
c,790.91,1231
c,769.12,1194.18
c,873.57,1181.46
æ,443.24,2225.84
æ,504.96,2472.86
æ,496.72,3187.46
æ,471.08,2371.97
æ,410.21,2170
æ,530.94,2812.04
U,727.88,1347.71
U,892.31,1464.91
U,810.48,1910.88
U,810.01,1776.5
U,728.31,1448.55
U,750.26,1303.43